RecordID,Gender,Faculty,Academic level,knowledge_score
0,Male,Medicine,Fourth year,0.5416666666666666
1,Male,Medicine,Fifth year,0.4305555555555555
2,Male,Dentistry,Fourth year,0.375
3,Male,Medicine,Fifth year,0.8472222222222222
4,Male,Medicine,Third year,0.4444444444444444
5,Female,Medicine,Fifth year,0.6527777777777778
6,Male,Medicine,Fourth year,0.5972222222222222
7,Female,Medicine,Fourth year,0.4305555555555556
8,Male,Medicine,Fifth year,0.4305555555555555
9,Female,Dentistry,Fourth year,0.875
10,Male,Dentistry,Second year,0.6944444444444443
11,Female,Dentistry,Fifth year,0.4861111111111111
12,Female,Dentistry,Fifth year,0.2638888888888889
13,Male,Medicine,Fourth year,0.2638888888888889
14,Male,Medicine,Fifth year,0.6388888888888888
15,Female,Medicine,First year,0.16666666666666666
16,Male,Medicine,Fourth year,0.9166666666666666
17,Male,Medicine,Fourth year,0.75
18,Male,Medicine,Fifth year,0.736111111111111
19,Male,Dentistry,Second year,0.4305555555555556
20,Male,Medicine,Fifth year,0.47222222222222215
21,Male,Medicine,Fourth year,0.638888888888889
23,Male,Medicine,First year,0.5833333333333334
24,Female,Medicine,First year,0.20833333333333334
25,Female,Medicine,Second year,0.4305555555555555
26,Female,Medicine,First year,0.0
27,Female,Medicine,First year,0.375
28,Male,Medicine,Third year,0.4305555555555555
29,Female,Dentistry,Third year,0.8472222222222222
30,Female,Medicine,Fifth year,0.5555555555555556
31,Female,Dentistry,Third year,0.2222222222222222
32,Male,Dentistry,Third year,0.2638888888888889
33,Female,Dentistry,Second year,0.6527777777777778
34,Female,Dentistry,Fourth year,0.861111111111111
35,Female,Medicine,Third year,0.5277777777777778
36,Female,Medicine,First year,0.375
37,Female,Dentistry,Second year,0.5277777777777778
38,Male,Medicine,Third year,0.5277777777777778
39,Male,Dentistry,Fourth year,0.9166666666666666
40,Female,Medicine,Second year,0.4305555555555555
41,Male,Medicine,First year,0.27777777777777773
42,Male,Medicine,Third year,0.5833333333333334
43,Female,Medicine,Third year,0.6944444444444443
44,Male,Medicine,Third year,0.638888888888889
45,Male,Medicine,Second year,0.6388888888888888
46,Female,Medicine,Third year,0.5
47,Male,Medicine,Third year,0.5972222222222222
48,Male,Medicine,Third year,0.2638888888888889
49,Female,Medicine,Third year,0.5277777777777778
50,Male,Medicine,Third year,0.3055555555555555
51,Female,Dentistry,Second year,0.6944444444444443
52,Male,Dentistry,Second year,0.2222222222222222
54,Female,Dentistry,Second year,0.2222222222222222
55,Female,Dentistry,Second year,0.5972222222222222
56,Male,Medicine,Second year,0.4861111111111111
58,Female,Dentistry,Second year,0.4861111111111111
59,Female,Dentistry,Fourth year,0.8194444444444443
60,Female,Dentistry,Fourth year,0.6527777777777778
61,Female,Dentistry,Fourth year,0.9444444444444443
62,Male,Dentistry,Fourth year,0.7083333333333334
63,Male,Dentistry,Fourth year,0.2638888888888889
64,Male,Medicine,Fourth year,0.375
