طابع زمني,Are you a student at University of Gezira?,Age,Gender,Faculty,Academic level,Causes of dental caries,Causes of bleeding during tooth brushing:,Influence of dental plaque:,Measures that prevent oral diseases:,Systemic diseases that may be related to oral diseases:,Which is more important for oral health: self-administration or dentist?:,Frequency of daily tooth brushing.,Duration of tooth brushing.,Frequency of replacing tooth brush.,Frequency of visiting dentist.,Method of tooth brushing:,Oral hygiene methods besides tooth brushing:,What oral health problem(s) do you have (you can choose more than one):
9/24/2023 22:01:24,Yes,23,Male,Medicine,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing",Brushing too hard,Affecting appearance,Application of fluoride,Heart diseases,Self-administration of oral hygiene,1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,Mouthwash,"Abnormal growth of last molar in the left side of lower jaw, space between some teeth"
9/24/2023 22:04:16,Yes,25,Male,Medicine,Fifth year,Dynamic of oral micro-flora,Periodontal disease,Affecting appearance,Application of fluoride,Heart diseases,Self-administration of oral hygiene,2,More than 3 minutes,Every three months,Twice a year,Horizontal scrub,Mouthwash,Dental caries
9/24/2023 22:05:24,Yes,24,Male,Dentistry,Fourth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Brushing too hard",Don't know,"Application of fluoride, Pit & fissure sealing","None of the above, Other diseases",Regular visit to dentist,2,2 to 3 minutes,,Twice a year,Modified pass technique,Toothpick,No problem
9/24/2023 22:09:19,Yes,25,Male,Medicine,Fifth year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Tooth scaling","Heart diseases, Diabetes mellitus, Hypertension",Self-administration of oral hygiene,1,More than 3 minutes,Every three months,Once a year,Vertical scrub,Mouthwash,Toothache
9/24/2023 22:09:26,Yes,20,Male,Medicine,Third year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries",Application of fluoride,None of the above,Regular visit to dentist,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Horizontal scrub,Sugar-free chewing gum,Toothache
9/24/2023 22:28:28,Yes,24,Female,Medicine,Fifth year,Inadequate tooth brushing,"Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries","Pit & fissure sealing, Tooth scaling",Diabetes mellitus,"Self-administration of oral hygiene, Regular visit to dentist",2,More than 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,"Mouthwash, Sugar-free chewing gum, Toothpick","Dental caries, Gingival bleeding, Oral ulcers, Tooth discoloration"
9/24/2023 22:35:10,Yes,24,Male,Medicine,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora","Periodontal disease, Brushing too hard, Systemic disease",Don't know,"Application of fluoride, Tooth scaling","Heart diseases, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,Once a year,Vertical scrub,Mouthwash,No problem
9/24/2023 22:57:55,Yes,23,Female,Medicine,Fourth year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Inducing dental caries, Including periodontal diseases",Tooth scaling,Diabetes mellitus,Regular visit to dentist,2,More than 3 minutes,Every three months,More than 2 times a year,Modified pass technique,"Mouthwash, Sugar-free chewing gum, Toothpick",Tooth hypersensitivity
9/24/2023 23:08:29,Yes,25,Male,Medicine,Fifth year,Inadequate tooth brushing,Brushing too hard,Inducing dental caries,Application of fluoride,Other diseases,Self-administration of oral hygiene,More than 2,2 to 3 minutes,Every three months,Once a year,Modified pass technique,Mouthwash,Dental caries
9/25/2023 0:08:21,Yes,24,Female,Dentistry,Fourth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling",Heart diseases,Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,Mouthwash,
